# TSMM Benchmark,,,,,,,,,,,,,
# Threads: OMP_NUM_THREADS=1  requested=1,,,,,,,,,,,,,
# Runs: 20 (warmup: 2),,,,,,,,,,,,,
#,,,,,,,,,,,,,
kernel,shape,m,n,k,layout,wall_ms,gflops,mem_bw_gbs,ai,total_flops,bytes_read,bytes_written,threads
tsmm_naive,S1: m=4000  n=160000  k=128,4000,160000,128,ROW_MAJOR,73900.42564,2.217,0.072,30.984,1.64E+11,1.68E+08,5.12E+09,1
tsmm_naive,S1: m=4000  n=160000  k=128,4000,160000,128,COL_MAJOR,135247.3824,1.211,0.039,30.984,1.64E+11,1.68E+08,5.12E+09,1
tsmm_naive,S2: m=8     n=16      k=16000,8,16,16000,ROW_MAJOR,0.458367,8.936,6.704,1.333,4.10E+06,3.07E+06,1.02E+03,1
tsmm_naive,S2: m=8     n=16      k=16000,8,16,16000,COL_MAJOR,2.165861,1.891,1.419,1.333,4.10E+06,3.07E+06,1.02E+03,1
tsmm_naive,S3: m=32    n=16000   k=16,32,16000,16,ROW_MAJOR,2.60799,6.282,2.357,2.665,1.64E+07,2.05E+06,4.10E+06,1
tsmm_naive,S3: m=32    n=16000   k=16,32,16000,16,COL_MAJOR,6.507851,2.518,0.945,2.665,1.64E+07,2.05E+06,4.10E+06,1
tsmm_naive,S4: m=144   n=144     k=144,144,144,144,ROW_MAJOR,0.458535,13.024,1.085,12,5.97E+06,3.32E+05,1.66E+05,1
tsmm_naive,S4: m=144   n=144     k=144,144,144,144,COL_MAJOR,2.783034,2.146,0.179,12,5.97E+06,3.32E+05,1.66E+05,1
tsmm_naive,S5: m=16    n=12344   k=16,16,12344,16,ROW_MAJOR,1.027759,6.149,3.077,1.999,6.32E+06,1.58E+06,1.58E+06,1
tsmm_naive,S5: m=16    n=12344   k=16,16,12344,16,COL_MAJOR,1.963578,3.219,1.61,1.999,6.32E+06,1.58E+06,1.58E+06,1
tsmm_naive,S6: m=4     n=64      k=606841,4,64,606841,ROW_MAJOR,35.228297,8.82,9.371,0.941,3.11E+08,3.30E+08,2.05E+03,1
tsmm_naive,S6: m=4     n=64      k=606841,4,64,606841,COL_MAJOR,186.773472,1.664,1.768,0.941,3.11E+08,3.30E+08,2.05E+03,1
tsmm_naive,S7: m=442   n=193     k=11,442,193,11,ROW_MAJOR,0.186879,10.042,3.951,2.542,1.88E+06,5.59E+04,6.82E+05,1
tsmm_naive,S7: m=442   n=193     k=11,442,193,11,COL_MAJOR,0.544548,3.446,1.356,2.542,1.88E+06,5.59E+04,6.82E+05,1
tsmm_naive,S8: m=40    n=1127228 k=40,40,1127228,40,ROW_MAJOR,1622.310624,2.223,0.445,5,3.61E+09,3.61E+08,3.61E+08,1
tsmm_naive,S8: m=40    n=1127228 k=40,40,1127228,40,COL_MAJOR,2977.668904,1.211,0.242,5,3.61E+09,3.61E+08,3.61E+08,1
